Place_Id,Place_Name,Description,Category,City,Rating,Coordinate,Lat,Long,translated_description,translated_category
1,Monumen Nasional,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",Budaya,Jakarta,4.6,"{'lat': -6.1753924, 'lng': 106.8271528}",-6.1753924,106.8271528,"The National Monument or popularly abbreviated as Monas or Monas Monument is a 132 meter high warning monument (433 feet) which was established to commemorate the resistance and struggle of the Indonesian people to seize independence from the Dutch East Indies colonial government.The construction of this monument began on August 17, 1961 under President Soekarno's orders and was opened to the public on July 12, 1975. This monument was crowned with a flame coated with a gold sheet symbolizing the spirit of the burning struggle.The National Monument is located right in the middle of Medan Merdeka Field, Central Jakarta.",Culture
2,Kota Tua,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",Budaya,Jakarta,4.6,"{'lat': -6.137644799999999, 'lng': 106.8171245}",-6.1376448,106.8171245,"The Old City in Jakarta, also named Kota Tua, centered in Fatahillah Square, which is a busy square with routine traditional dance performances.The Jakarta History Museum is a Dutch era building with paintings and antiques, while the puppet museum exhibits Javanese wooden dolls.Glodok Village, or Chinatown, famous for street food, such as dumplings and fried noodles.Nearby, there are Sekunar and Fishing Vessels at the Ancient Sunda Kelapa Harbor",Culture
3,Dunia Fantasi,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Taman Hiburan,Jakarta,4.6,"{'lat': -6.125312399999999, 'lng': 106.8335377}",-6.1253124,106.8335377,"The world of fantasy or also called Dufan is an entertainment venue located in the Taman Impian Jaya Ancol area, North Jakarta, Indonesia.Dufan was inaugurated and opened on August 29, 1985.",amusement parks
4,Taman Mini Indonesia Indah (TMII),"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″LS,106°53′47.2″BT",Taman Hiburan,Jakarta,4.5,"{'lat': -6.302445899999999, 'lng': 106.8951559}",-6.3024459,106.8951559,"Taman Mini Indonesia Indah is a tourist park with the theme of Indonesian culture in East Jakarta.The area of approximately 150 hectares or 1.5 square kilometers is located at coordinates 6 ° 18′6.8 ″ LS, 106 ° 53′47.2 ″ BT",amusement parks
5,Atlantis Water Adventure,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",Taman Hiburan,Jakarta,4.5,"{'lat': -6.12419, 'lng': 106.839134}",-6.12419,106.839134,"Atlantis Water Adventure or known as Atlantis Ancol will present an unforgettable water tourism adventure.The tourist attraction with the theme of water games with an area of 5 hectares gives the sensation of adventure in 8 main ponds.Namely the Antila Pond, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, and Atlantean.Located in the Ancol Jakarta Baycity area, Atlantis can be the right destination choice for swimming tours.",amusement parks
6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,Taman Hiburan,Jakarta,4.5,"{'lat': -6.117333200000001, 'lng': 106.8579951}",-6.1173332,106.8579951,Taman Impian Jaya Ancol is a tourist attraction in North Jakarta. \ N \ n,amusement parks
7,Kebun Binatang Ragunan,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",Cagar Alam,Jakarta,4.5,"{'lat': -6.3124593, 'lng': 106.8201865}",-6.3124593,106.8201865,"Ragunan Zoo is a zoo located in the Ragunan area, Pasar Minggu, South Jakarta, Indonesia.This 140 hectare zoo was founded in 1864. In it there are various collections consisting of 295 species and 4040 specimens.reopened on October 11, 2005. This animal garden has many rare species of animal including brown, orangutan, gorilla, anoa and elephant",Nature preserve
8,Ocean Ecopark,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau.
",Taman Hiburan,Jakarta,4.0,"{'lat': -6.125801699999999, 'lng': 106.8363249}",-6.1258017,106.8363249,"Ocean Ecopark is one of the Ancol recreation zone that offers green open space and experience and does not forget the side of education for visitors.Various activities and exciting rides that can be played in family recreation areas, some of them: outbondholic, energy houses, bee houses, canoe, paintball, outbondholic, eco-markets, learning farms, eco-bike, faunaland.If you plan to travel to Ocean Eco Park Ancol, you don't need to worry about the price of admission.Because the price of admission to Ocean Eco Park is offered at an affordable price.",amusement parks
9,Pelabuhan Marina,"Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",Bahari,Jakarta,4.4,"{'lat': 1.07888, 'lng': 103.931398}",1.07888,103.931398,"Marina Ancol Port is in the Taman Impian Jaya Ancol area, Jakarta.The port, commonly called the Ancol Marina Pier, is an area that is not only for crossing purposes, but also developed for many things, such as water tourism, water sports or play rides.The main function of this port is to serve passengers who want to cross to the Thousand Islands, and vice versa.Many people who are in Jakarta and surrounding areas, make the Thousand Islands the main tourist destination.Vacation on the Thousand Island is indeed able to eliminate the fatigue of working in a metropolitan city, while enjoying the beauty of the beach that is still well maintained.Marina Ancol is in North Jakarta or is completely located in the Old City, Ancol, Pademangan, Jakarta.Very easy to go to this place because it is not too far from the city center.In addition, there are many public transportation that goes to this place or can also use online transportation services.",Nautical
10,Pulau Tidung,"Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia.",Bahari,Jakarta,4.5,"{'lat': -5.803205300000001, 'lng': 106.5237907}",-5.8032053,106.5237907,"Tidung Island is one of the villages in the District of South Seribu Islands, Seribu Islands Regency, Jakarta, Indonesia.",Nautical
