year,sector,revenue
2017,Accommodation services for visitors,60425
2017,Food and beverage-serving services,53936
2017,Railway passenger transport services,378
2017,Road passenger transport services,4271
2017,Water passenger transport services,3332
2017,Air passenger transport services,24699
2017,Transport equipment rental service,1118
2017,Travel agencies and other reservation service,36
2017,Cultural/Sports/Recreational Services,12117
2017,Trade in Tourism Good,9661
2017,Other Tourism Services,2414
2017,Other Product,37995
2018,Accommodation services for visitors,80397
2018,Food and beverage-serving services,76557
2018,Railway passenger transport services,438
2018,Road passenger transport services,4554
2018,Water passenger transport services,3549
2018,Air passenger transport services,32634
2018,Transport equipment rental service,1817
2018,Travel agencies and other reservation service,41
2018,Cultural/Sports/Recreational Services,13592
2018,Trade in Tourism Good,10551
2018,Other Tourism Services,2638
2018,Other Product,43541
2019,Accommodation services for visitors,82441
2019,Food and beverage-serving services,81594
2019,Railway passenger transport services,503
2019,Road passenger transport services,4922
2019,Water passenger transport services,3828
2019,Air passenger transport services,25351
2019,Transport equipment rental service,1430
2019,Travel agencies and other reservation service,46
2019,Cultural/Sports/Recreational Services,15614
2019,Trade in Tourism Good,11255
2019,Other Tourism Services,2911
2019,Other Product,49397
2020,Accommodation services for visitors,21518
2020,Food and beverage-serving services,14918
2020,Railway passenger transport services,134
2020,Road passenger transport services,1311
2020,Water passenger transport services,1020
2020,Air passenger transport services,5568
2020,Transport equipment rental service,381
2020,Travel agencies and other reservation service,1002
2020,Cultural/Sports/Recreational Services,2107
2020,Trade in Tourism Good,5274
2020,Other Tourism Services,4181
2020,Other Product,11144
2021,Accommodation services for visitors,4867
2021,Food and beverage-serving services,1981
2021,Railway passenger transport services,29
2021,Road passenger transport services,282
2021,Water passenger transport services,219
2021,Air passenger transport services,1007
2021,Transport equipment rental service,82
2021,Travel agencies and other reservation service,264
2021,Cultural/Sports/Recreational Services,618
2021,Trade in Tourism Good,1567
2021,Other Tourism Services,1064
2021,Other Product,663
