Entity,Code,Year,Arrival
Indonesia,IDN,1995,4324000
Indonesia,IDN,1996,5034000
Indonesia,IDN,1997,5185000
Indonesia,IDN,1998,4606000
Indonesia,IDN,1999,4728000
Indonesia,IDN,2000,5064000
Indonesia,IDN,2001,5153000
Indonesia,IDN,2002,5033000
Indonesia,IDN,2003,4467000
Indonesia,IDN,2004,5321000
Indonesia,IDN,2005,5002000
Indonesia,IDN,2006,4871000
Indonesia,IDN,2007,5506000
Indonesia,IDN,2008,6234000
Indonesia,IDN,2009,6324000
Indonesia,IDN,2010,7003000
Indonesia,IDN,2011,7650000
Indonesia,IDN,2012,8044000
Indonesia,IDN,2013,8802000
Indonesia,IDN,2014,9435000
Indonesia,IDN,2015,10407000
Indonesia,IDN,2016,11519000
Indonesia,IDN,2017,14040000
Indonesia,IDN,2018,15810000
Indonesia,IDN,2019,16107000
Indonesia,IDN,2020,4053000
Indonesia,IDN,2021,1557000
Indonesia,IDN,2022,5889000
Indonesia,IDN,2023,7436000
