year,sector,revenue
2017,Accommodation services for visitors,60425
2017,Food and beverage-serving services,53936
2017,Other Product,37995
2017,Air passenger transport services,24699
2017,Cultural/Sports/Recreational Services,12117
2018,Accommodation services for visitors,80397
2018,Food and beverage-serving services,76557
2018,Other Product,43541
2018,Air passenger transport services,32634
2018,Cultural/Sports/Recreational Services,13592
2019,Accommodation services for visitors,82441
2019,Food and beverage-serving services,81594
2019,Other Product,49397
2019,Air passenger transport services,25351
2019,Cultural/Sports/Recreational Services,15614
2020,Accommodation services for visitors,21518
2020,Food and beverage-serving services,14918
2020,Other Product,11144
2020,Air passenger transport services,5568
2020,Trade in Tourism Good,5274
2021,Accommodation services for visitors,4867
2021,Food and beverage-serving services,1981
2021,Trade in Tourism Good,1567
2021,Other Tourism Services,1064
2021,Air passenger transport services,1007
