Place,City,Lat,Long,Description
Monumen Nasional,Jakarta,-6.1753924,106.8271528,"The National Monument or popularly abbreviated as Monas or Monas Monument is a 132 meter high warning monument (433 feet) which was established to commemorate the resistance and struggle of the Indonesian people to seize independence from the Dutch East Indies colonial government.The construction of this monument began on August 17, 1961 under President Soekarno's orders and was opened to the public on July 12, 1975. This monument was crowned with a flame coated with a gold sheet symbolizing the spirit of the burning struggle.The National Monument is located right in the middle of Medan Merdeka Field, Central Jakarta."
Kota Tua,Jakarta,-6.1376448,106.8171245,"The Old City in Jakarta, also named Kota Tua, centered in Fatahillah Square, which is a busy square with routine traditional dance performances.The Jakarta History Museum is a Dutch era building with paintings and antiques, while the puppet museum exhibits Javanese wooden dolls.Glodok Village, or Chinatown, famous for street food, such as dumplings and fried noodles.Nearby, there are Sekunar and Fishing Vessels at the Ancient Sunda Kelapa Harbor"
Dunia Fantasi,Jakarta,-6.1253124,106.8335377,"The world of fantasy or also called Dufan is an entertainment venue located in the Taman Impian Jaya Ancol area, North Jakarta, Indonesia.Dufan was inaugurated and opened on August 29, 1985."
Taman Mini Indonesia Indah (TMII),Jakarta,-6.3024459,106.8951559,"Taman Mini Indonesia Indah is a tourist park with the theme of Indonesian culture in East Jakarta.The area of approximately 150 hectares or 1.5 square kilometers is located at coordinates 6 ° 18′6.8 ″ LS, 106 ° 53′47.2 ″ BT"
Atlantis Water Adventure,Jakarta,-6.12419,106.839134,"Atlantis Water Adventure or known as Atlantis Ancol will present an unforgettable water tourism adventure.The tourist attraction with the theme of water games with an area of 5 hectares gives the sensation of adventure in 8 main ponds.Namely the Antila Pond, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, and Atlantean.Located in the Ancol Jakarta Baycity area, Atlantis can be the right destination choice for swimming tours."
Taman Impian Jaya Ancol,Jakarta,-6.1173332,106.8579951,Taman Impian Jaya Ancol is a tourist attraction in North Jakarta. \ N \ n
Kebun Binatang Ragunan,Jakarta,-6.3124593,106.8201865,"Ragunan Zoo is a zoo located in the Ragunan area, Pasar Minggu, South Jakarta, Indonesia.This 140 hectare zoo was founded in 1864. In it there are various collections consisting of 295 species and 4040 specimens.reopened on October 11, 2005. This animal garden has many rare species of animal including brown, orangutan, gorilla, anoa and elephant"
Ocean Ecopark,Jakarta,-6.1258017,106.8363249,"Ocean Ecopark is one of the Ancol recreation zone that offers green open space and experience and does not forget the side of education for visitors.Various activities and exciting rides that can be played in family recreation areas, some of them: outbondholic, energy houses, bee houses, canoe, paintball, outbondholic, eco-markets, learning farms, eco-bike, faunaland.If you plan to travel to Ocean Eco Park Ancol, you don't need to worry about the price of admission.Because the price of admission to Ocean Eco Park is offered at an affordable price."
Pelabuhan Marina,Jakarta,1.07888,103.931398,"Marina Ancol Port is in the Taman Impian Jaya Ancol area, Jakarta.The port, commonly called the Ancol Marina Pier, is an area that is not only for crossing purposes, but also developed for many things, such as water tourism, water sports or play rides.The main function of this port is to serve passengers who want to cross to the Thousand Islands, and vice versa.Many people who are in Jakarta and surrounding areas, make the Thousand Islands the main tourist destination.Vacation on the Thousand Island is indeed able to eliminate the fatigue of working in a metropolitan city, while enjoying the beauty of the beach that is still well maintained.Marina Ancol is in North Jakarta or is completely located in the Old City, Ancol, Pademangan, Jakarta.Very easy to go to this place because it is not too far from the city center.In addition, there are many public transportation that goes to this place or can also use online transportation services."
Pulau Tidung,Jakarta,-5.8032053,106.5237907,"Tidung Island is one of the villages in the District of South Seribu Islands, Seribu Islands Regency, Jakarta, Indonesia."
Pulau Bidadari,Jakarta,-6.035833,106.746944,"Bidadari Island is one of the resorts in the Thousand Islands Regency, Jakarta.Before it was named Bidadari Island, this island had two names, namely Hakan Island and Purmerend Island"
Pulau Pari,Jakarta,-5.9074328,106.5863989,"Pari Island is an island located in the Thousand Islands in the Special Capital Region of Jakarta, Indonesia."
Pulau Pramuka,Jakarta,-5.745962,106.6136577,Pramuka Island is one of the islands that are in the Thousand Islands clusters.This island is a center for administration and government of the Thousand Islands Administration Regency.Pramuka Island is included in the area of Panggang Island.
Pulau Pelangi,Jakarta,-5.587055,106.5885,"Pelangi Island is an island located in the Thousand Islands in the Special Capital Region of Jakarta, Indonesia.Pelangi Island is an island located in the Thousand Islands in the Special Capital Region of Jakarta, Indonesia, Pelangi Island / commonly called Petondan Besar Island (Pelangi Island) is a resort island that is suitable for a vacation.This resort island has a natural concept, because some of the regions are filled with trees that are soothing to the eyes, the beauty of nature and the sea is worth visiting.Surrounded by the jungle of trees and clear blue sea makes the atmosphere cool and comfortable.The ideal condition for tourism with family.With accommodation that directly facing the sea makes tourists feel at home for long on Pelangi Island.Administratively included in the administrative district of the Thousand Islands of DKI Jakarta Province.Along with Petondan Kecil Island is a vacation resort.It is located close to the same cluster as Kelor Island and Coconut Island. \ N to reach the rainbow resort takes 90 minutes from the Pantai Mutiara Pier.There is a special speedboat ship at Pier R1 Pantai Mutiara that carries passengers there.Its location 60 - 70 km from Pantai Mutiara is indeed quite far.But your trip paid off as soon as it reached Pelangi Island."
Pasar Seni,Jakarta,-6.1766868,106.8417666,"The Art Market is a center for crafts and arts that become a forum for talented artists to channel the arts they have.Artists can meet with art collectors and entrepreneurs to share information and market their products.It was founded in early 1977, with the laying of the first stone by Bang Ali Sadikin, the first Governor of DKI Jakarta, precisely in July 1977. And inaugurated by Governor H. Tjokropanolo on December 17, 1977. Since it was inaugurated the art market, received a positive response to art loverswhich exists."
Jembatan Kota Intan,Jakarta,-6.1314572,106.8106169,"The Intan City Bridge is the oldest bridge in Indonesia which was built in 1628 by the Government of Vereenigde Oostindische Compagnie or VOC, or our society is more familiar with the name Kumpeni.The bridge is now located in the Kali Besar area of the Old City area of West Jakarta and is under the management of the DKI Jakarta Province Tourism and Culture Office."
Museum Fatahillah,Jakarta,-6.1364489,106.8130661,"The Fatahillah Museum has the official name of the Jakarta History Museum is a museum located on Jalan Taman Fatahillah No.1, West Jakarta with an area of more than 1,300 square meters. \ N this building was once the Batavia City Hall (Dutch: Stadhuis van Batavia) which was built in 1707-1710 on the orders of the Governor-Joan Van Hoorn.This building resembles the Dam Palace in Amsterdam, consisting of the main building with two wings in the eastern and western parts and sanding buildings used as offices, courtrooms, and basement spaces used as prisons.On March 30, 1974, this building was then inaugurated by Mr. Ali Sadikin as the Jakarta History Museum."
Museum Bank Indonesia,Jakarta,-6.137127,106.813005,"Bank Indonesia Museum is a museum in Jakarta, Indonesia located on Jl.Pintu Besar Utara No.3, West Jakarta (in front of Beos Kota Station), by occupying the area of the former Bank Indonesia City building which is a cultural heritage from Neo-Classical Bank, combined with local influence, and was first built in 1828. \ n on 1625, in this place a simple church was built for Protestants.In 1628, the church was demolished because it was used for a large cannon when tens of thousands of Sultan Agung troops attacked Batavia for the first time. This museum presented information on the role of Bank Indonesia in the history of the nation which began before the arrival of Western nations in the archipelago until the formation of Bank Indonesia onin 1953 and Bank Indonesia policies, including the background and impact of Bank Indonesia's policies for the community up to 2005. The presentation was packaged in such a way as to utilize modern and multi-media technology, such as electronic displays, static panels, plasma television, and dioramas soCreating the comfort of visitors in enjoying the Bank Indonesia Museum.In addition there are also facts and collections of historical objects before the formation of Bank Indonesia, such as in the era of the Kingdoms of the Archipelago, including in the form of a collection of numismatic money that was displayed also interesting.and began to open to the community (soft opening) on December 15, 2006 by the Governor of Bank Indonesia at that time, Burhanuddin Abdullah, and the inauguration of the Phase II (Grand Opening) by Indonesian President Susilo Bambang Yudhoyono, on July 21, 2009. \ nmuseum Bank Indonesia OpenEvery day except Monday and national holidays."
Kidzania,Jakarta,-6.2250735,106.8097144,"Kidzania is a Mexican private franchise in the form of a family entertainment center that is currently operating in 23 locations, which allows children to do adults and get paid.Kidzania has been visited by more than 31 million visitors worldwide since its opening, making it one of the fastest growing global entertainment brands in the world."
Museum Taman Prasasti,Jakarta,-6.1722241,106.8189695,"Taman Prasasti Museum is a cultural heritage museum from the Dutch colonial period located on Jalan Tanah Abang No.1, Central Jakarta.This museum has a collection of ancient gravestones and miniature tomb miniatures from 27 provinces in Indonesia, along with an antique.The 1.2 Ha Museum is an open museum that features works of art from the past about the sophistication of the sculptors, sculptors, calligrafers and writers who are fused."
Museum Wayang,Jakarta,-6.1349072,106.8124452,"The Wayang Museum is a museum located on Jalan Pintu Besar Utara number 27, West Jakarta."
Masjid Istiqlal,Jakarta,-6.17017,106.83139,"Istiqlal Mosque (Literal Meaning: Merdeka Mosque) is a National Mosque of the Republic of Indonesia, located in the former Wilhelmina Park, in the northeast of Medan Merdeka Field in the middle of the National Monument (Monas), at the center of the capital city of Jakarta.This mosque is one of the 10 largest mosques in the world that can accommodate more than 200,000 worshipers.Across the east of the mosque stands the Jakarta Cathedral Church.Daily Chairperson of the Istiqlal Mosque Management Agency (BPMI) as well as the High Priest of the Istiqlal Mosque is Prof.Dr.Nasaruddin Umar, M.A.The construction of the mosque was initiated by the President of the Republic of Indonesia at that time, Ir.Soekarno.The laying of the first stone as a sign of the start of the construction of the Istiqlal Mosque was carried out by Ir.Soekarno on August 24, 1961. The architect of the Istiqlal Mosque is Frederich Silaban, a Christian. This mosque has a modern architectural style with marble -coated walls and floors, decorated with geometric ornaments of anti -stains.The main building of this mosque consists of five floors and one ground floor.The main building was crowned a large 45 -meter diameter dome supported by 12 large pillars.A single tower as high as 96.66 meters towering in the southern corner of the mosque.This mosque is able to accommodate more than 200,000 worshipers. In addition to being used as Muslim worship activities, this mosque is also used as an office of various Islamic organizations in Indonesia, social activities, and general activities.This mosque is also one of the famous tourist attractions in Jakarta.Most tourists who visit are generally domestic tourists in addition to some foreign tourists who are Muslim.The non-Muslim community can also visit this mosque after previously getting information on Islam and the Istiqlal Mosque, although the parts that can be visited by non-Muslims are limited and must be accompanied by a guide., Hijriyah New Year, Prophet Muhammad's Birthday and Isra and Mi'raj, the President of the Republic of Indonesia always holds religious activities in this mosque which is broadcast live through National Television (TVRI) and some private television."
Gereja Katedral,Jakarta,-6.169225,106.833063,"Jakarta Cathedral Church, or officially named the Santa Maria Church was appointed to heaven (German: De Kerk van Onze Lieve Vrouwe Ten Hemelopneming; English: The Church of Our Lady of the Assumption) is a church in Jakarta.This church building was inaugurated in 1901 and was built with neo-gotik architecture from Europe, namely architecture which is commonly used to build church buildings several centuries ago."
Museum Nasional,Jakarta,-6.1764021,106.8215901,"The National Museum of the Republic of Indonesia or the Elephant Museum, is an archeological, historical, ethnographic, and geography museum located in Central Jakarta and exactly on Jalan Merdeka Barat 12. This museum is the first and largest museum in Southeast Asia."
Pasar Tanah Abang,Jakarta,-6.1890096,106.8119312,"Tanah Abang Market or Saturday Market was built by Yustinus VINCK on August 30, 1735. Yustinus VINCK established the Tanah Abang Market Market on permission from Governor General Abraham Patramini.The permit given at that time for the Tanah Abang Market was to sell textiles and grocery goods and only open every Saturday.Therefore, this market is called the Saturday market.This market is able to rival the Senen Market (Welter Vreden) which had already advanced. \ N on 1740 there was a commotion event, namely the massacre of Chinese people, the destruction of property, including the Tanah Abang Market was ravaged and burned.In 1881, Tanah Abang Market was again built and which was opened on Saturday, plus Wednesday, so that Tanah Abang Market was opened 2 times a week.Market buildings were originally very simple, consisting of bamboo walls and boards and rumbia roofs from 229 boards and 139 bamboo plots.Tanah Abang Market continues to experience improvement until the end of the 19th century and the floor began to be hardened with a stir foundation.In 1913, Tanah Abang Market was repaired again.In 1926 the Government of Batavia dismantled the Tanah Abang Market and replaced permanent buildings in the form of three long booths from walls and boards and roofs of the tile, with its market office on a market building similar to a bird cage.The parking lot in front of the market became a parking lot of delman and carts.There is a fairly large water, and across the street there is a shop that specializes in selling horse food bran.A few tens of meters from the bran shop there is a alley known as the Madat Gang, the place of localization of the brieftry. \ N on the era of the Japanese occupation, this market is almost unfavorable, and is a place for homeless people.In that place, places began to be built such as Al Makmur Mosque and Hok Tek Tjen Sien Temple, both of which were the same age as the Tanah Abang Market.In 1973, the Tanah Abang Market was rejuvenated, replaced with 4 four -story buildings, and had experienced two fires, first December 30, 1978, Block A on the third and second floors hit Block B on August 13, 1979. In 1975 the kiosk was recorded4,351 pieces with 3,016 traders."
